"trait","n","p_env","delta_R2","R2_full","R2_reduced","dev_expl","env_edf","p_env_fdr"
"L_1",2464,0.000142444588711064,0.0107416284269699,0.110358251572212,0.0996166231452417,0.140260001456049,6.4267114351951,0.000213666883066595
"L_2",2464,5.85565817079994e-05,0.00702136653089958,0.157701497378783,0.150680130847883,0.182284194182702,4.12343695848257,0.000175669745123998
"contrast",2464,0.666293326720236,-0.000308348611832154,0.211541161792753,0.211849510404585,0.234124658594456,2.66148378653523,0.666293326720236
"warmth",2464,NA,0.00572628422664057,0.242977190914085,0.237250906687444,0.266929580104958,6.64771819852366,NA
