"photo_id","wb_gain_r","wb_gain_g","wb_gain_b","exposure_gain","saturated_frac","wb_clamped","exp_clamped","n_bg_pixels","residual_a","residual_b","residual_euclid"
"2569359507_1",0.82004739665476,0.975978841083608,1.32284596423737,1.15386844649892,0.24835,FALSE,FALSE,15033,0.784142200871085,16.9661237375361,16.9842348567303
"2569359507_2",0.782104592299738,0.998929689957656,1.38825804658708,1.26015659394444,0.1195,FALSE,FALSE,17610,-4.18262508793937,21.0997995436348,21.5103671146689
"2569362714_1",0.940216656491316,0.981910842604059,1.0893329838215,1.05564782330869,0.11625,FALSE,FALSE,17675,0.0660871329391521,5.5352751472858,5.5356696492204
"2569363207_1",0.760706906118996,1.2224506407601,1.15286490822455,1.25260690556214,0.1377,FALSE,FALSE,17246,-1.66723574086897,17.5774057905543,17.6562982910191
"2569363207_2",0.656736697146779,1.16087150415077,1.62364556586851,1.40499697684648,0.1361,FALSE,FALSE,17278,3.41595389795135,7.37881387851055,8.13115215001102
"2569363207_3",0.875022837972528,1.05304035558133,1.1018780303587,1.16354764939875,0.10515,FALSE,FALSE,17897,0.705355044782974,5.82899605034801,5.8715177504776
"2571549220_1",0.857160368654584,0.99358461102292,1.20933555381485,1.1501965493399,0.03215,FALSE,FALSE,19357,0.178938439056198,9.28613532340223,9.28785918333771
"2571549271_1",0.857523295724631,0.902090307488538,1.37871234798901,1.2393866954476,0.11815,FALSE,FALSE,17637,0.717015163610557,6.26885267591515,6.30972460707882
"2576251720_1",0.88695741865235,1.00964521307367,1.13365416249527,1.10592288889083,0.0289,FALSE,FALSE,19422,1.95370760050556,4.02345129259374,4.47270988240322
"2576350459_1",0.967787741287582,1.02804429033357,1.00604144230311,1.04856435621912,0.0265,FALSE,FALSE,19470,0.39081392442189,4.13967611915976,4.15808295913678
"2579112537_1",0.837635178704243,1.00283388401457,1.23611117959453,1.13256607006004,0.13125,FALSE,FALSE,17375,-2.09677670207709,12.8903145117178,13.0597350949158
