photo_ID,class_coverage
1024196527_1.jpg,2.13
1052581155_1.jpg,17.65
1065603861_1.jpg,16.67
1065610920_1.jpg,32.92
1065611010_1.jpg,16.94
1065611010_2.jpg,9.59
1088935324_1.jpg,5.89
1098918548_1.jpg,19.88
1098918548_2.jpg,19.43
1132407895_1.jpg,1.56
1132407895_2.jpg,11.43
1134966182_1.jpg,21.76
1134966182_2.jpg,9.47
1135356260_1.jpg,1.95
1135356260_2.jpg,2.04
1135356260_3.jpg,2.50
1135356260_4.jpg,4.08
1135356260_5.jpg,3.26
1135526218_1.jpg,5.11
1135530375_1.jpg,10.21
1135530375_2.jpg,12.64
1135530375_3.jpg,10.82
1143525091_1.jpg,2.28
1143525091_2.jpg,3.45
1143525091_3.jpg,3.44
1143525091_4.jpg,3.32
1143528305_1.jpg,4.83
1143535745_1.jpg,3.27
1143550049_1.jpg,14.05
1143550049_2.jpg,4.82
1143550049_3.jpg,14.17
1143561862_1.jpg,11.50
1144279446_1.jpg,7.09
1211996486_1.jpg,37.94
1211996533_1.jpg,10.18
1227729356_1.jpg,14.89
1227729356_2.jpg,10.37
1227729356_3.jpg,24.34
1227736264_1.jpg,13.67
1227736264_2.jpg,3.42
1262385060_1.jpg,8.39
1265570533_1.jpg,5.04
1265577522_1.jpg,1.26
1265581194_1.jpg,1.19
1265893246_1.jpg,6.37
1269566047_1.jpg,18.47
1269572635_1.jpg,7.21
1269573956_1.jpg,10.07
1269573960_1.jpg,1.58
1269581703_1.jpg,0.82
1272087529_1.jpg,28.69
1291134097_1.jpg,2.62
1291135651_1.jpg,5.03
1291146174_1.jpg,3.80
1291146716_1.jpg,32.98
1291153746_1.jpg,6.28
1291674327_1.jpg,0.78
1305129161_1.jpg,19.94
1305129171_1.jpg,6.94
1305131563_1.jpg,20.79
1305155031_1.jpg,11.98
1305155031_2.jpg,5.76
1315071951_1.jpg,7.27
1453051998_1.jpg,19.00
1453371744_1.jpg,57.50
1453405956_1.jpg,22.80
1453405956_2.jpg,27.90
1453525819_1.jpg,1.54
1455577045_1.jpg,8.48
1455580666_1.jpg,1.39
1455583466_1.jpg,1.47
1455587241_1.jpg,19.13
1455591228_1.jpg,9.69
1455594731_1.jpg,3.18
1455594788_1.jpg,8.54
1457590068_1.jpg,11.25
1457590090_1.jpg,2.67
1457590242_1.jpg,12.29
1457593264_1.jpg,40.29
1457602821_1.jpg,4.28
1457608539_1.jpg,6.29
1457611320_1.jpg,0.65
1457611331_1.jpg,6.80
1457611359_1.jpg,3.66
1457614643_1.jpg,9.91
1457617149_1.jpg,3.81
1457618204_1.jpg,11.72
1457618338_1.jpg,15.87
1457625084_1.jpg,2.26
1457625489_1.jpg,5.12
1457626254_1.jpg,2.22
1457626977_1.jpg,4.89
1457630687_1.jpg,4.65
1457634571_1.jpg,0.85
1457637371_1.jpg,0.65
1457640855_1.jpg,1.70
1457641675_1.jpg,0.94
1457643663_1.jpg,9.57
1500247430_1.jpg,4.63
1500262768_1.jpg,2.61
1500270409_1.jpg,27.30
1500299628_1.jpg,25.12
1500299628_2.jpg,21.78
1500313153_1.jpg,1.15
1500313858_1.jpg,2.48
1500322685_1.jpg,0.97
1500345911_1.jpg,6.12
1500348335_1.jpg,1.71
1562907126_1.jpg,19.14
1562910524_1.jpg,6.03
1562914819_1.jpg,19.29
1562915990_1.jpg,3.75
1562925831_1.jpg,1.83
1562929429_1.jpg,5.60
1562930472_1.jpg,15.03
1562930581_1.jpg,15.47
1562931060_1.jpg,4.10
1562936401_1.jpg,9.61
1562939786_1.jpg,10.22
1562939820_1.jpg,1.98
1562949140_1.jpg,5.81
1562949228_1.jpg,5.31
1562952762_1.jpg,1.58
1562952827_1.jpg,5.51
1562954161_1.jpg,10.23
