"trait","n","p_env","delta_R2","R2_full","R2_reduced","dev_expl","env_edf","p_env_fdr"
"L_1",1702,0.00835905798381579,0.00621213998850956,0.10134049380717,0.0951283538186606,0.145837642328179,3.33431043843948,0.0167181159676316
"L_2",1702,0.399891902059318,0.000241338648246936,0.241571226908629,0.241329888260382,0.279628951063283,4.17112748184717,0.399891902059318
"contrast",1702,0.202697838448169,-0.00343719230358241,0.298435325325416,0.301872517628998,0.331683614559794,3.92641711892189,0.270263784597559
"warmth",1702,1.299145946445e-07,0.00958380237623768,0.192277779945159,0.182693977568921,0.229164779165443,5.95492248406512,5.19658378578e-07
