"trait","n","p_env","delta_R2","R2_full","R2_reduced","dev_expl","env_edf","p_env_fdr"
"L_1",268,0.00760612170897887,-3.85803912039684e-07,0.0456743394236857,0.0456747252275977,0.182513836427639,0.000471490290994472,0.0275200250673265
"L_2",268,0.017945902828528,0.00139456281172823,0.0563075516614201,0.0549129888496919,0.187983740175138,1.25627723303065,0.0275200250673265
"contrast",268,0.0206400188004949,0.0303141119620917,0.143279834148562,0.11296572218647,0.264787543065005,1.87166335412482,0.0275200250673265
"warmth",268,0.063435657491022,0.0094795488771886,0.261851323856538,0.25237177497935,0.367809453766626,1.3092170781063,0.063435657491022
