"trait","n","p_env","delta_R2","R2_full","R2_reduced","dev_expl","env_edf","p_env_fdr"
"L_1",125,0.0111629246394449,0.000989249902580536,0.248022020678636,0.247032770776056,0.43778931622691,0.1597298993374,0.0223258492788899
"L_2",125,0.025111766033587,0.0296920183717633,0.179554269495552,0.149862251123788,0.377347498581258,1.2521623675475,0.0334823547114493
"contrast",125,0.00626327386355042,0.0777955917833255,0.200995856901622,0.123200265118296,0.385904062305864,0.979476230196069,0.0223258492788899
"warmth",125,0.117312462747594,0.00210680397025187,0.161591108430752,0.1594843044605,0.358950095433566,1.43115396412034,0.117312462747594
