"trait","n","p_env","p_env_fdr","delta_R2","R2_full","dev_expl","variable","edf","F","p_value","p_FDR"
"contrast",125,0.00626327386355042,0.0223258492788899,0.0777955917833255,0.200995856901622,0.385904062305864,"elevation",0.979135006287436,2.95762755352103,0.00217882365308286,0.0697223568986516
"contrast",125,0.00626327386355042,0.0223258492788899,0.0777955917833255,0.200995856901622,0.385904062305864,"bio_1",1.98383385199726e-05,1.9065690124754e-07,0.950305033765097,0.952066652739074
"contrast",125,0.00626327386355042,0.0223258492788899,0.0777955917833255,0.200995856901622,0.385904062305864,"bio_2",2.27009914241416e-05,1.32974076755778e-06,0.682238973314394,0.949202049828722
"contrast",125,0.00626327386355042,0.0223258492788899,0.0777955917833255,0.200995856901622,0.385904062305864,"bio_3",7.33676897957399e-05,1.95771815540204e-07,0.952066652739074,0.952066652739074
"contrast",125,0.00626327386355042,0.0223258492788899,0.0777955917833255,0.200995856901622,0.385904062305864,"bio_4",4.02856435509709e-05,6.67799427343928e-07,0.858420124562465,0.952066652739074
"contrast",125,0.00626327386355042,0.0223258492788899,0.0777955917833255,0.200995856901622,0.385904062305864,"bio_5",7.55826928290137e-05,7.36908824192651e-06,0.590051001123664,0.949202049828722
"contrast",125,0.00626327386355042,0.0223258492788899,0.0777955917833255,0.200995856901622,0.385904062305864,"bio_6",1.20568144003546e-05,7.21208799476383e-07,0.677082038714132,0.949202049828722
"contrast",125,0.00626327386355042,0.0223258492788899,0.0777955917833255,0.200995856901622,0.385904062305864,"bio_7",9.73917381131059e-05,6.9337955821291e-06,0.64753350108571,0.949202049828722
"L_1",125,0.0111629246394449,0.0223258492788899,0.000989249902580536,0.248022020678636,0.43778931622691,"elevation",0.000231643543253658,5.054753987664e-05,0.389674968908564,0.949202049828722
"L_1",125,0.0111629246394449,0.0223258492788899,0.000989249902580536,0.248022020678636,0.43778931622691,"bio_1",0.0830056301587463,0.0300747518919505,0.278494300101501,0.949202049828722
"L_1",125,0.0111629246394449,0.0223258492788899,0.000989249902580536,0.248022020678636,0.43778931622691,"bio_2",3.28362314417758e-05,1.64292280051555e-06,0.656356271037435,0.949202049828722
"L_1",125,0.0111629246394449,0.0223258492788899,0.000989249902580536,0.248022020678636,0.43778931622691,"bio_3",1.43033373471303e-05,1.20874170410989e-06,0.584040248372979,0.949202049828722
"L_1",125,0.0111629246394449,0.0223258492788899,0.000989249902580536,0.248022020678636,0.43778931622691,"bio_4",0.0762637054410463,0.0274783172294106,0.275436839872422,0.949202049828722
"L_1",125,0.0111629246394449,0.0223258492788899,0.000989249902580536,0.248022020678636,0.43778931622691,"bio_5",2.67154168440626e-05,1.13582474509469e-07,0.942873255240907,0.952066652739074
"L_1",125,0.0111629246394449,0.0223258492788899,0.000989249902580536,0.248022020678636,0.43778931622691,"bio_6",7.90469420133466e-05,1.23720245476071e-05,0.456451137111718,0.949202049828722
"L_1",125,0.0111629246394449,0.0223258492788899,0.000989249902580536,0.248022020678636,0.43778931622691,"bio_7",7.60182667076639e-05,2.81348378256562e-06,0.737837077329675,0.952066652739074
"L_2",125,0.025111766033587,0.0334823547114493,0.0296920183717633,0.179554269495552,0.377347498581258,"elevation",0.806355175992034,1.1707471910494,0.0348994175173312,0.558390680277299
"L_2",125,0.025111766033587,0.0334823547114493,0.0296920183717633,0.179554269495552,0.377347498581258,"bio_1",6.25236356223289e-05,6.96877619374582e-07,0.905238416673186,0.952066652739074
