photo_ID,class_coverage
1024219297_1.jpg,6.36
1273855712_1.jpg,10.58
1273855712_2.jpg,17.70
1273855712_3.jpg,8.76
1273855736_1.jpg,2.40
1291094995_1.jpg,35.09
1291105271_1.jpg,11.45
1305145619_1.jpg,42.11
1305145619_2.jpg,27.55
1305145619_3.jpg,11.48
1305145619_4.jpg,0.90
1305145619_5.jpg,1.48
1305145712_1.jpg,2.32
1305145712_2.jpg,3.07
1305145712_3.jpg,2.13
1305145712_4.jpg,4.85
1305145750_1.jpg,10.43
1305145750_2.jpg,1.42
1305145750_3.jpg,3.15
1305145750_4.jpg,2.44
1305145750_5.jpg,8.69
1453525831_1.jpg,21.62
1562948321_1.jpg,1.75
1562948422_1.jpg,0.50
1838333413_1.jpg,0.39
1841222086_1.jpg,5.06
1841222086_2.jpg,2.24
1841222086_3.jpg,0.00
1841222284_1.jpg,4.99
1841222284_2.jpg,7.39
1847509866_1.jpg,30.90
1883514716_1.jpg,8.26
1913675512_1.jpg,7.23
1913675512_2.jpg,9.65
1914344688_1.jpg,4.91
1914350345_1.jpg,10.59
1920828637_1.jpg,5.72
1944415979_1.jpg,6.30
2236258449_1.jpg,19.39
2242876293_1.jpg,46.46
2242876293_2.jpg,29.17
2242876293_3.jpg,16.26
2265841504_1.jpg,33.60
2294556564_1.jpg,3.67
2294623070_1.jpg,28.00
2294623070_2.jpg,26.35
2311351179_1.jpg,4.35
2311351179_2.jpg,4.96
2311351179_3.jpg,8.64
2331856825_1.jpg,4.65
2331856825_2.jpg,18.44
2331915344_1.jpg,7.28
2366117516_1.jpg,5.71
2423170381_1.jpg,3.53
2429533552_1.jpg,10.72
2540877950_1.jpg,3.04
2596186097_1.jpg,9.05
2596345329_1.jpg,30.49
2596414004_1.jpg,9.37
2626232098_1.jpg,17.36
2626232098_2.jpg,9.18
2626232098_3.jpg,4.73
2634225844_1.jpg,15.39
2802651884_1.jpg,4.00
2803128081_1.jpg,0.15
2803128081_2.jpg,3.89
2803141586_1.jpg,1.51
2813931993_1.jpg,1.68
2814207285_1.jpg,26.11
2814443594_1.jpg,0.28
2814451974_1.jpg,11.79
2814451974_2.jpg,2.94
2826388751_1.jpg,4.71
2826388751_2.jpg,2.60
2826388751_3.jpg,3.25
2832244388_1.jpg,22.30
2832244388_2.jpg,8.41
2832297733_1.jpg,14.54
2832297733_2.jpg,19.48
2832297733_3.jpg,8.09
2832638250_1.jpg,11.21
2832638250_2.jpg,0.04
2832771397_1.jpg,14.85
2833006422_1.jpg,6.08
2833408887_1.jpg,7.79
2833408887_2.jpg,5.81
2833524631_1.jpg,5.89
2833524631_2.jpg,21.16
