photo_ID,class_coverage
2569359507_1.jpg,12.50
2569359507_2.jpg,36.01
2569362714_1.jpg,14.31
2569363207_1.jpg,15.20
2569363207_2.jpg,50.28
2569363207_3.jpg,9.28
2571549220_1.jpg,8.90
2571549271_1.jpg,6.21
2576251720_1.jpg,4.71
2576350459_1.jpg,8.67
2579112537_1.jpg,21.10
2579362062_1.jpg,11.45
2596240253_1.jpg,4.85
2596246377_1.jpg,8.39
2596254733_1.jpg,9.76
2596254733_2.jpg,17.48
2596307491_1.jpg,10.56
2597747456_1.jpg,10.86
2597747456_2.jpg,2.69
2597747456_3.jpg,0.93
2597747456_4.jpg,7.45
2597790937_1.jpg,3.89
2597793060_1.jpg,0.43
2597856697_1.jpg,15.86
2597865320_1.jpg,0.98
2597865320_2.jpg,1.62
2597903968_1.jpg,2.03
2603320083_1.jpg,29.32
2603322697_1.jpg,1.15
2603406627_1.jpg,5.71
2603426293_1.jpg,0.51
2603426293_2.jpg,0.76
2603427781_1.jpg,5.76
2603427781_2.jpg,2.47
2603463619_1.jpg,11.59
2603463619_2.jpg,3.29
2603463619_3.jpg,13.24
2603477262_1.jpg,9.33
2603477262_2.jpg,2.86
2603477262_3.jpg,4.92
2603531253_1.jpg,11.81
2603531253_2.jpg,11.89
2603531253_3.jpg,6.86
2603533296_1.jpg,15.76
2603545555_1.jpg,0.66
2603545555_2.jpg,4.80
2609120307_1.jpg,7.68
2609130411_1.jpg,1.43
2609131750_1.jpg,1.65
2609135431_1.jpg,12.13
2609135431_2.jpg,17.59
2609213221_1.jpg,4.59
2609245457_1.jpg,4.03
2609309238_1.jpg,13.46
2611072925_1.jpg,2.97
2611076747_1.jpg,8.06
2611148371_1.jpg,3.14
2611148371_2.jpg,3.89
2611220011_1.jpg,3.76
2611226901_1.jpg,35.96
2619912981_1.jpg,26.55
2619916753_1.jpg,90.22
2619916753_2.jpg,48.52
2619916753_3.jpg,27.76
2619916753_4.jpg,26.70
2619916753_5.jpg,18.16
2619916753_6.jpg,23.95
2619916753_7.jpg,12.16
2619933992_1.jpg,10.88
2619958701_1.jpg,12.18
2619958701_2.jpg,5.56
2620016088_1.jpg,9.29
2620025977_1.jpg,12.80
