"photo_id","wb_gain_r","wb_gain_g","wb_gain_b","exposure_gain","saturated_frac","wb_clamped","exp_clamped","n_bg_pixels","residual_a","residual_b","residual_euclid"
"1273855712_1",0.861569667964755,0.959836065783166,1.25394494401957,1.35363131413087,0.00275000000000003,FALSE,FALSE,19945,-0.303213337940644,13.6171786656317,13.620554068761
"1273855712_2",0.812958427520894,0.9709739276683,1.35129468954654,1.40225664479784,0.00149999999999995,FALSE,FALSE,19970,-0.288903767129534,8.93098793470102,8.93565950987597
"1291094995_1",1.00200844014093,1.00177843814081,0.996234536994733,1.03464922905579,0.00629999999999997,FALSE,FALSE,19874,-0.0414578811190336,0.124326512093131,0.131056619505172
"1291105271_1",0.993042873698251,0.993717422381047,1.013508204528,1.01399274184012,0.0104,FALSE,FALSE,19792,-0.0288600722017918,2.9712866510876,2.97142680655251
"1305145619_1",0.865149660963344,0.953928151050089,1.25654401455426,1.15624695638853,0.00839999999999996,FALSE,FALSE,19832,-0.740152274464667,4.24169602996422,4.3057880347283
"1305145619_3",0.701839368356395,1.09231074083814,1.51588156422618,1.18272985816453,0.0605,FALSE,FALSE,18790,2.30634579707975,4.73849811788284,5.26997109564053
"1305145619_5",0.906824408995613,0.95918021525239,1.17000975292005,1.06848263364283,0.07975,FALSE,FALSE,18405,-1.32534154190622,12.6377764300072,12.7070816200081
"1305145712_1",0.88627507340977,1.04477879688791,1.09344381788002,1.13484557889758,0.00600000000000001,FALSE,FALSE,19880,1.09748803414661,-0.22879577888355,1.12108317868476
"1305145712_2",0.887059527081007,1.04036338671553,1.09711998878843,1.11778405340621,0.0139,FALSE,FALSE,19722,0.614019701386803,-1.73619041413142,1.84156926229045
"1305145750_1",0.923220419095687,1.02592379894631,1.0614541779238,1.17310637012475,0,FALSE,FALSE,20000,0.326385171795895,1.59611437828324,1.62914345253288
"1305145750_2",0.878622140198569,1.00115836099088,1.1587333349307,1.19599670394217,0.00600000000000001,FALSE,FALSE,19880,2.10401306653296,2.42590701306703,3.21121407261946
"1305145750_3",0.884067395787502,1.01279533905324,1.1344322595333,1.30325909569858,0.000349999999999961,FALSE,FALSE,19993,0.887547800859645,0.314370291271082,0.941578344507061
"1305145750_4",0.902118462676392,1.01002829198004,1.10935234761594,1.27876054259387,0,FALSE,FALSE,20000,1.0866736745786,0.658301636190095,1.27051986180174
"1305145750_5",0.892741658844107,1.03012966827894,1.09998471546796,1.19585661594246,0,FALSE,FALSE,20000,0.351344463717485,2.14571697126493,2.17429166694795
"1453525831_1",0.949478968105525,0.972442470931972,1.08878815172106,1.54540778354941,0.0698,FALSE,FALSE,18604,-1.01189890991532,5.65188004400465,5.7417495100105
