photo_ID,class_coverage
1038340344_1.jpg,5.57
1453120285_1.jpg,1.92
1500329613_1.jpg,8.01
1571084583_1.jpg,6.85
1836612813_1.jpg,10.67
1850921723_1.jpg,6.59
1883943470_1.jpg,6.67
1883955048_1.jpg,8.14
1891296267_1.jpg,7.56
1913197900_1.jpg,3.65
1932340499_2.jpg,6.14
1950018831_1.jpg,4.03
1950018831_2.jpg,6.01
2265815760_1.jpg,13.06
2294470807_1.jpg,43.38
2294654908_1.jpg,24.89
2331950932_1.jpg,6.57
2331962060_1.jpg,15.83
2350398607_1.jpg,23.75
2423229015_1.jpg,26.10
2460075097_1.jpg,31.33
2465191800_1.jpg,28.50
2557747757_1.jpg,31.00
2563617270_1.jpg,18.61
2573839305_1.jpg,33.61
2573853581_1.jpg,8.38
2574275530_1.jpg,50.47
2574275530_2.jpg,52.23
2576273207_1.jpg,12.90
2579234560_1.jpg,9.98
2579234560_2.jpg,13.01
2579234560_3.jpg,6.41
2579235321_1.jpg,1.52
2580215428_1.jpg,1.03
2609298414_1.jpg,5.52
2634278770_1.jpg,11.84
2634278770_2.jpg,3.73
2634389240_1.jpg,24.86
2802695629_1.jpg,1.01
2826482285_1.jpg,8.34
2832394160_1.jpg,6.93
2832394160_3.jpg,17.49
2832840723_1.jpg,5.29
2836130398_1.jpg,5.46
2836130398_2.jpg,5.46
2836130398_3.jpg,4.42
2836130398_4.jpg,8.74
2837320920_1.jpg,8.15
2837931090_1.jpg,2.72
2838074333_1.jpg,5.64
2840158249_1.jpg,3.95
2841427591_1.jpg,16.87
2843233380_1.jpg,4.43
2843670306_1.jpg,9.21
2843670306_2.jpg,1.71
2844903345_1.jpg,8.99
2864577207_1.jpg,1.00
2864770464_1.jpg,5.61
2873727958_1.jpg,17.73
2873866750_1.jpg,17.70
2873976282_1.jpg,10.59
2883055341_1.jpg,4.17
2883055341_2.jpg,12.24
2883055341_3.jpg,5.20
2901806160_1.jpg,4.22
2901806160_2.jpg,14.43
2963821637_1.jpg,3.33
2963821637_2.jpg,7.28
2980956638_1.jpg,8.89
2980980656_1.jpg,7.14
2980981625_1.jpg,2.06
2981000641_1.jpg,8.59
2981002637_1.jpg,10.88
2984469058_1.jpg,6.60
2988582925_1.jpg,29.29
3058770954_1.jpg,3.85
3068121913_1.jpg,3.79
3070426710_1.jpg,5.93
3097148683_1.jpg,16.19
3112460305_1.jpg,5.76
3113356712_1.jpg,1.83
3301887658_1.jpg,27.18
3301887658_2.jpg,44.48
3302477598_1.jpg,12.76
3307442606_1.jpg,11.29
3314445925_1.jpg,7.01
3330778873_1.jpg,7.59
3333069622_1.jpg,15.92
3333082666_1.jpg,15.14
3333272669_1.jpg,7.17
3333278685_1.jpg,15.18
3333444422_1.jpg,11.22
3333444422_2.jpg,2.17
3333444422_3.jpg,6.02
3333444422_4.jpg,2.13
3333444422_5.jpg,4.07
3333444422_6.jpg,8.94
3333444422_7.jpg,11.76
3333444422_8.jpg,7.20
3355189793_1.jpg,7.49
3355371525_1.jpg,16.38
3355371525_2.jpg,14.10
3355371525_3.jpg,1.67
3355598905_1.jpg,5.58
3384278828_1.jpg,21.60
3384278828_2.jpg,11.25
3384478332_1.jpg,3.52
3384842977_1.jpg,3.03
3398821297_1.jpg,5.13
3398821297_2.jpg,4.53
3398821297_3.jpg,9.17
3398821297_4.jpg,5.69
3398821297_5.jpg,6.87
3398821297_6.jpg,8.17
3456453257_1.jpg,13.55
3456812595_1.jpg,10.89
3456832289_1.jpg,7.23
3456865758_1.jpg,6.39
3456921947_1.jpg,0.18
3456921947_2.jpg,0.66
3456957729_1.jpg,4.71
3499575985_1.jpg,48.94
3712538000_1.jpg,3.20
3712705587_1.jpg,9.05
3716412969_1.jpg,5.13
3717067901_1.jpg,3.60
3719478579_1.jpg,2.73
3721204917_1.jpg,5.40
3722273728_1.jpg,3.02
3722486952_1.jpg,28.44
3722486952_2.jpg,41.03
3722486952_3.jpg,46.10
3722537597_1.jpg,26.13
3722586072_1.jpg,9.70
3722774853_1.jpg,5.62
3722937237_1.jpg,2.57
3722937237_10.jpg,7.66
3722937237_11.jpg,4.50
3722937237_2.jpg,16.15
3722937237_3.jpg,12.40
3722937237_4.jpg,26.93
3722937237_5.jpg,22.39
3722937237_6.jpg,2.16
3722937237_7.jpg,6.56
3722937237_8.jpg,3.12
3722937237_9.jpg,3.54
3723212713_1.jpg,7.47
3723288201_1.jpg,5.49
3723288201_2.jpg,4.29
3723288201_3.jpg,7.07
3723288201_4.jpg,1.24
3726181438_1.jpg,3.86
3726332413_1.jpg,1.52
3726537849_1.jpg,18.99
3727072388_1.jpg,10.62
3728869498_1.jpg,8.73
3729861787_1.jpg,3.76
3730019654_1.jpg,5.36
3730019654_2.jpg,6.62
3731005832_1.jpg,6.97
3731005832_2.jpg,10.17
3731005832_3.jpg,2.86
3731636020_1.jpg,15.19
3731831303_1.jpg,33.63
