"photo_id","wb_gain_r","wb_gain_g","wb_gain_b","exposure_gain","saturated_frac","wb_clamped","exp_clamped","n_bg_pixels","residual_a","residual_b","residual_euclid"
"1052581155_1",0.823399543312633,0.96653168918365,1.33174316054637,1.16137902173966,0.0557,FALSE,FALSE,18886,-1.41255843636168,4.67753306650094,4.88616791814876
"1065603861_1",0.959889509495555,0.972446704182059,1.07540822824838,1.51443170110299,0.01525,FALSE,FALSE,19695,-0.737499682067266,1.0955736818028,1.32067689966481
"1098918548_1",0.924209328299439,0.91251243891422,1.21636955706662,1.11788966158244,0.1001,FALSE,FALSE,17998,1.06076061420282,5.03147761303834,5.14207935091923
"1098918548_2",0.980681685063309,0.986409973982204,1.03463558834158,1.00591043374348,0.11265,FALSE,FALSE,17747,0.218502767601492,0.269053442688105,0.346602386708218
"1132407895_2",0.91140508666159,1.05690186609575,1.04533469418572,1.92572856748435,0.000199999999999978,FALSE,FALSE,19996,-2.29067540924249,-0.313846724740796,2.31207560368142
"1134966182_1",0.978887284617567,0.978181770035409,1.04588611888027,1.54937182628701,0.0203,FALSE,FALSE,19594,-0.134773447780234,2.49739673069806,2.50103065009767
"1134966182_2",0.882895802158878,0.972889914096393,1.19118808120905,1.38515249360835,0.0747,FALSE,FALSE,18506,-1.24063094548632,5.78546027153526,5.91698535543321
"1135526218_1",1.02211381253399,0.964634981901445,1.01525541329478,1.0393833791323,0.04315,FALSE,FALSE,19137,2.17319317993836,1.23499293024421,2.49959519424321
"1135530375_1",0.983131234158447,0.947033563098303,1.07884988998057,1.1953587313594,0.00409999999999999,FALSE,FALSE,19918,-4.54085739818849,5.63083400931425,7.2336489789824
"1135530375_2",0.990232609103553,0.993410382961684,1.01677378006009,1.36354356784536,0.000249999999999972,FALSE,FALSE,19995,-0.109074501673634,0.956180288691977,0.962381416798155
"1135530375_3",0.994032718438113,0.996855333102839,1.00924232918781,1.41209776830659,4.99999999999945e-05,FALSE,FALSE,19999,0.0120230142097721,0.514663451137776,0.514803866348859
"1143525091_1",0.934667277221472,0.955705917204197,1.13153714633523,1.09414996766171,0.0687,FALSE,FALSE,18626,-7.45043594434849,16.015497579247,17.6636677525282
"1143525091_2",0.933583528486472,0.980644570499376,1.09996345935282,1.07433160908201,0.11565,FALSE,FALSE,17687,-5.74550245829281,14.8031057392025,15.8790030551121
"1143525091_3",0.876238062963521,0.910699930686536,1.3145767584565,1.16416400534588,0.10765,FALSE,FALSE,17847,-7.74452505502682,15.7940917681513,17.590651014352
"1143525091_4",0.85780457386389,0.925596251606992,1.32652623839219,1.18230162194844,0.10175,FALSE,FALSE,17965,-6.69111599299466,14.8568523181338,16.2940815646217
"1143528305_1",1.00107454555405,0.967068202615619,1.03410460371108,1.05858746968649,0.0196499999999999,FALSE,FALSE,19607,2.53837391968015,2.02836056071478,3.2492443306676
"1143535745_1",0.905229739248692,1.0094779276568,1.10534245604077,1.13012812211321,0.00600000000000001,FALSE,FALSE,19880,-0.431521347400016,-3.99422766593962,4.01747001489985
"1143550049_1",0.874016394204035,0.934469372340908,1.27270073135986,1.30521100832924,0.17065,FALSE,FALSE,16587,-2.06654494519268,4.85253727878839,5.27425123145764
"1143550049_2",0.95702770311872,0.959611944267415,1.09527793883839,1.04038262190282,0.0159,FALSE,FALSE,19682,-0.552397089548379,2.19176226474526,2.26030183154878
"1143550049_3",0.947226805528242,0.95640452406426,1.11271346935835,1.05949307064954,0.01695,FALSE,FALSE,19661,-0.583751160016965,2.18352549556804,2.26020994746435
"1211996486_1",0.950459761218516,0.963040637470137,1.09950543481864,1.15908888929455,0.0745,FALSE,FALSE,18510,2.68491269162519,6.94940124456931,7.4500291153573
"1227729356_1",0.748218191661461,1.00595663111788,1.49384649443646,1.26770728772748,0.0767,FALSE,FALSE,18466,1.88639038732813,6.81953322004178,7.07562732431955
"1227729356_2",0.877537681850794,0.900909886888808,1.33251806876328,1.64894475439375,0.10795,FALSE,FALSE,17841,3.70439730178662,19.08176577296,19.4380128712683
"1227729356_3",0.897604390723441,0.993506079860405,1.13715565697321,1.26216149043113,0.2344,FALSE,FALSE,15312,5.15366168009906,19.0713123450828,19.755383652985
"1227736264_1",1.0015239527881,0.889430225057615,1.1399826336698,1.09284615232688,0.44245,FALSE,FALSE,11151,-10.3158222770978,15.9536416537932,18.9982860087512
"1227736264_2",0.968414256583394,0.960507182677392,1.07960181771091,1.15131585583299,0.1957,FALSE,FALSE,16086,-13.7864924198065,22.3098603797573,26.2258888010615
"1262385060_1",0.978262849125264,0.98183437192857,1.04245054300729,1.09373357603683,0.00685000000000002,FALSE,FALSE,19863,-0.107992270201751,-0.326400150893935,0.343801380053821
"1265581194_1",0.982752373498593,0.992613902308504,1.02563196439526,1.06454315771845,0.00534999999999997,FALSE,FALSE,19893,-0.347820762159279,-1.34784434367234,1.39199987692478
"1265893246_1",0.809953776915209,0.987535591335557,1.32848010786348,1.18831754686023,0.04615,FALSE,FALSE,19077,0.535901517321635,4.96685070319265,4.99567776623682
